Respondent_ID,Age_Group,Gender,City,Occupation,Income_Level,Education,Usage_Duration,Usage_Frequency,Primary_Device,Ordering_Context,Order_Type,Primary_Cuisine,AOV,Payment_Method,Overall_Satisfaction,NPS_Category,Best_Feature,Pain_Point,Issue_Frequency,Issue_Resolution,Price_Sensitivity,Discount_Seeking,Subscription_Value,Promo_Response,Tip_Sensitivity,Platform_Awareness,Primary_Alternative,Switching_Likelihood,Churn_Triggers,Multi_homing,Discovery_Method,App_Features,Notification_Preference,Social_Sharing,Meal_Planning,Decision_Factors,Risk_Tolerance,Loyalty_Program,Experimentation,Platform_Loyalty,Switching_History,Win_back,Advocacy,Ordering_Motivation,Primary_Need,Value_Proposition,Perfect_Experience,Improvement_Ideas
R044,18-24,Female,Cairo,Student,Under 10000,Some college/university,6-12 months,Several times a week,Smartphone (iOS),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,7-8 (Satisfied),Fast delivery,Delivery time,Sometimes,Somewhat satisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Breadfast,Probably would,Quality issues,Yes regularly,Promotions,Deals,In-app notifications,Always,Mixed,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes once,Better prices,Probably would,Convenience,Quick meal,Convenience-first,Quick meals always,More deals
R045,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R046,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Will try new if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R047,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R048,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R049,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R050,25-34,Male,Cairo,Entry-level employee,10000-25000,Bachelor's degree,3-6 months,Once a month,Smartphone (Android),Weekend,Food delivery,Egyptian/Local,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Rarely,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Rarely,Default setting,2 platforms,Foodpanda,Might switch,Better alternative,No mainly Talabat,App search,Filters,Email,Rarely,Mix,Cuisine type,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Saving time,Specific craving,Convenience-first,Fast affordable meals,More options
R051,35-44,Female,Alexandria,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
R052,18-24,Female,Cairo,Student,Under 10000,Some college/university,6-12 months,Several times a week,Smartphone (iOS),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,7-8 (Satisfied),Fast delivery,Delivery time,Sometimes,Somewhat satisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Breadfast,Probably would,Quality issues,Yes regularly,Promotions,Deals,In-app notifications,Always,Mixed,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes once,Better prices,Probably would,Convenience,Quick meal,Convenience-first,Quick meals always,More deals
R053,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R054,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Willing if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R055,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R056,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R057,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R058,25-34,Male,Cairo,Entry-level employee,10000-25000,Bachelor's degree,3-6 months,Once a month,Smartphone (Android),Weekend,Food delivery,Egyptian/Local,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Rarely,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Rarely,Default setting,2 platforms,Foodpanda,Might switch,Better alternative,No mainly Talabat,App search,Filters,Email,Rarely,Mix,Cuisine type,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Saving time,Specific craving,Convenience-first,Fast affordable meals,More options
R059,35-44,Female,Alexandria,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
R060,18-24,Female,Cairo,Student,Under 10000,Some college/university,6-12 months,Several times a week,Smartphone (iOS),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,7-8 (Satisfied),Fast delivery,Delivery time,Sometimes,Somewhat satisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Breadfast,Probably would,Quality issues,Yes regularly,Promotions,Deals,In-app notifications,Always,Mixed,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes once,Better prices,Probably would,Convenience,Quick meal,Convenience-first,Quick meals always,More deals
R061,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R062,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Willing if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R063,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R064,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R065,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R066,35-44,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
R067,18-24,Female,Cairo,Student,Under 10000,Some college/university,6-12 months,Several times a week,Smartphone (iOS),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,7-8 (Satisfied),Fast delivery,Delivery time,Sometimes,Somewhat satisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Breadfast,Probably would,Quality issues,Yes regularly,Promotions,Deals,In-app notifications,Always,Mixed,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes once,Better prices,Probably would,Convenience,Quick meal,Convenience-first,Quick meals always,More deals
R068,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R069,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Willing if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R070,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R071,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R072,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R073,25-34,Male,Cairo,Entry-level employee,10000-25000,Bachelor's degree,3-6 months,Once a month,Smartphone (Android),Weekend,Food delivery,Egyptian/Local,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Rarely,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Rarely,Default setting,2 platforms,Foodpanda,Might switch,Better alternative,No mainly Talabat,App search,Filters,Email,Rarely,Mix,Cuisine type,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Saving time,Specific craving,Convenience-first,Fast affordable meals,More options
R074,35-44,Female,Alexandria,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
R075,18-24,Female,Cairo,Student,Under 10000,Some college/university,6-12 months,Several times a week,Smartphone (iOS),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,7-8 (Satisfied),Fast delivery,Delivery time,Sometimes,Somewhat satisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Breadfast,Probably would,Quality issues,Yes regularly,Promotions,Deals,In-app notifications,Always,Mixed,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes once,Better prices,Probably would,Convenience,Quick meal,Convenience-first,Quick meals always,More deals
R076,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R077,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Willing if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R078,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R079,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R080,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Flat amount,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R081,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R082,35-44,Female,Cairo,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekend,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Willing if recommended,Very important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Variety,Exploring,Quality-focused,Best food experience,Keep up
R083,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Saving time,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R084,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Reliable food,Lower fees
R085,45-54,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,Greatly influence,Flat amount,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,Email,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality,Same quality
R086,25-34,Male,Cairo,Entry-level employee,10000-25000,Bachelor's degree,3-6 months,Once a month,Smartphone (Android),Weekend,Food delivery,Egyptian/Local,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Rarely,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Rarely,Default setting,2 platforms,Foodpanda,Might switch,Better alternative,No mainly Talabat,App search,Filters,Email,Rarely,Mix,Cuisine type,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Saving time,Specific craving,Convenience-first,Fast affordable meals,More options
R087,35-44,Female,Alexandria,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
